Predicate,To keep
http://schema.org/hasOccupation,True
http://bioschemas.org/isLocatedInSubcellularLocation,True
http://schema.org/inLanguage,True
http://schema.org/subOrganization,True
http://schema.org/elevation,False
http://schema.org/givenName,False
http://schema.org/translator,True
http://schema.org/locationCreated,True
http://schema.org/partOfSeason,True
http://schema.org/hasPart,True
http://schema.org/parentOrganization,True
http://schema.org/isBasedOn,True
http://schema.org/material,True
http://schema.org/image,False
http://schema.org/founder,True
http://schema.org/owns,True
http://bioschemas.org/expressedIn,True
http://schema.org/foundingLocation,True
http://schema.org/familyName,False
http://schema.org/about,True
http://schema.org/copyrightHolder,True
http://schema.org/parent,True
http://bioschemas.org/taxonRank,True
http://schema.org/byArtist,True
http://schema.org/editor,True
http://schema.org/musicBy,True
http://schema.org/relevantSpecialty,True
http://schema.org/competitor,True
http://schema.org/logo,False
http://schema.org/illustrator,True
http://schema.org/citation,True
http://bioschemas.org/isInvolvedInBiologicalProcess,True
http://schema.org/sponsor,True
http://schema.org/children,True
http://schema.org/homeLocation,True
http://schema.org/exampleOfWork,True
http://schema.org/signOrSymptom,True
http://bioschemas.org/isEncodedByBioChemEntity,True
http://schema.org/provider,True
http://schema.org/composer,True
http://schema.org/creator,True
http://schema.org/character,True
http://schema.org/partOfSeries,True
http://schema.org/colorist,True
http://schema.org/countryOfOrigin,True
http://schema.org/license,True
http://schema.org/deathPlace,True
http://schema.org/actor,True
http://schema.org/director,True
http://schema.org/genre,True
http://schema.org/worksFor,True
http://schema.org/location,True
http://schema.org/author,True
http://bioschemas.org/encodesBioChemEntity,True
http://bioschemas.org/hasMolecularFunction,True
http://bioschemas.org/bioChemInteraction,True
http://schema.org/lyricist,True
http://schema.org/spouse,True
http://schema.org/contributor,True
http://schema.org/connectedTo,True
http://schema.org/knowsLanguage,True
http://schema.org/contentLocation,True
http://schema.org/gender,True
http://schema.org/productionCompany,True
http://schema.org/memberOf,True
http://schema.org/birthPlace,True
http://schema.org/geo,False
http://schema.org/producer,True
http://schema.org/award,True
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,False
http://www.w3.org/2002/07/owl#sameAs,False
http://schema.org/containsPlace,True
http://schema.org/containedInPlace,True
http://schema.org/affiliation,True
http://schema.org/operatingSystem,True
http://schema.org/isPartOf,True
http://schema.org/sport,True
http://schema.org/nationality,True
http://schema.org/publisher,True
http://schema.org/workExample,True
http://bioschemas.org/parentTaxon,True
http://schema.org/alumniOf,True
