1483	44461
1483	45407
1483	45396
1483	45486
1483	45659
1483	45560
17027	45187
17027	45044
17027	45659
17027	45626
31624	45659
31624	44361
31624	45462
28706	45187
28706	45044
28706	45659
28706	45626
31878	45659
31878	45567
31878	45626
35746	45659
35746	44361
35746	45462
17063	45187
17063	45044
17063	45659
17063	45626
17377	44999
17377	44461
17377	45659
17377	45358
17377	44777
30842	45187
30842	45044
30842	45659
30842	45626
39818	45175
39818	44668
39818	45659
39818	45626
19011	45659
19011	45156
19011	45389
4923	45187
4923	45044
4923	45659
4923	45626
31693	44720
31693	45659
31693	45059
31693	45567
37210	45659
37210	45626
32371	45187
32371	45044
32371	45659
32371	45626
30435	45187
30435	45044
30435	45659
30435	45626
8944	45659
8944	44701
624	45659
624	44917
624	44953
29234	45659
29234	44361
29234	45462
27288	45659
27288	44461
27288	44851
34415	45659
34415	44361
34415	45462
377	44461
377	45648
377	45396
377	45486
377	44768
377	45659
7654	45187
7654	45044
7654	45659
7654	45626
24848	45659
24848	44476
24848	45626
5075	45187
5075	45044
5075	45659
5075	45626
20299	44826
20299	44953
20299	45659
20299	44917
20299	44401
5705	45659
5705	44917
5705	44953
23316	45659
23316	45521
23316	45567
23316	45626
9880	45528
9880	45187
9880	45044
9880	45659
9880	44378
9880	45626
35893	45659
35893	44361
35893	45462
23101	45659
23101	45304
23101	45626
3773	45187
3773	45044
3773	45659
3773	45626
16546	44721
16546	45327
16546	45567
16546	45413
16546	45659
16546	45626
16546	45163
16546	44629
2132	45659
2132	44361
2132	45462
21295	45659
21295	44361
21295	45462
31669	45659
31669	44361
31669	45462
31709	45187
31709	45044
31709	45659
31709	45626
30292	45659
30292	44917
30292	44953
30564	44465
30564	45659
30564	44461
19012	45659
19012	44361
19012	45462
242	45659
242	45626
242	45528
14824	45659
14824	44917
14824	44953
14824	45273
36229	45659
36229	45626
155	45187
155	45044
155	45659
155	45626
14072	45187
14072	45044
14072	45659
14072	45626
7777	45187
7777	45044
7777	45659
7777	45626
16983	45659
16983	45626
44123	45659
44123	44361
44123	45462
38655	45659
38655	44441
38655	44753
38655	45626
752	45659
752	45156
752	45389
2304	45187
2304	45044
2304	45659
2304	45626
33308	45187
33308	45044
33308	45659
33308	45626
30497	45659
30497	45156
30497	44829
13310	45659
13310	45156
13310	45389
12031	45659
12031	44917
12031	44953
12031	45273
28637	45659
28637	44361
28637	45462
2422	45187
2422	45044
2422	45659
2422	45626
31742	45659
31742	45626
15274	44806
15274	45659
15274	44461
31656	45659
31656	44361
31656	45462
39954	45659
39954	44361
39954	45462
19049	45659
19049	44361
19049	45462
6017	45187
6017	45044
6017	45659
6017	45626
6190	45659
6190	44701
7531	45659
7531	44361
7531	45462
39056	45659
39056	45535
39056	45574
39056	45626
21052	45659
21052	44361
21052	45462
2033	45659
2033	44476
2033	45626
2180	45187
2180	45044
2180	45659
2180	45626
15267	44721
15267	45327
15267	45413
15267	45659
15267	45626
10878	45659
10878	45626
36307	45659
36307	44361
36307	45462
3153	45659
3153	44361
3153	45462
19351	45659
19351	45626
17085	45659
17085	44917
17085	44953
28825	45659
28825	44361
28825	45462
42132	45659
42132	44361
42132	45462
31356	44589
31356	44999
31356	44461
31356	45486
31356	45659
21433	45659
21433	44361
21433	45462
38942	45659
38942	44361
38942	45462
6259	45659
6259	44917
6259	44953
20359	45659
20359	44917
20359	44953
19156	45659
19156	44917
19156	44953
19156	45235
38216	45187
38216	45044
38216	45659
38216	45626
29897	45187
29897	45044
29897	45659
29897	45626
33255	45659
33255	45626
41773	44721
41773	45187
41773	45044
41773	45659
41773	45626
41773	44480
42641	45659
42641	45613
42641	44461
42641	44716
24959	45659
24959	45626
3416	45659
3416	44361
3416	45462
43461	45187
43461	45044
43461	45659
43461	45626
41943	45659
41943	44361
41943	45462
34549	45659
34549	44361
34549	45462
27711	44826
27711	44953
27711	45659
27711	44917
27711	44401
28832	45659
28832	44917
28832	44953
2221	45187
2221	45044
2221	45659
2221	45626
5384	45187
5384	45044
5384	45659
5384	45626
41144	45175
41144	45659
41144	45626
31116	45187
31116	45044
31116	45659
31116	45626
25634	45659
25634	44361
25634	45462
3159	45187
3159	45044
3159	45659
3159	45626
19077	45187
19077	45044
19077	45659
19077	45626
14807	45659
14807	44990
34258	45659
34258	44629
34258	45626
24819	44806
24819	45659
24819	44461
37289	45187
37289	45044
37289	45659
37289	45626
43347	45659
43347	44361
43347	45462
40116	45659
40116	44361
40116	45462
9127	45659
9127	45396
9127	45486
9127	44940
26991	45187
26991	45044
26991	45659
26991	45626
33055	45659
33055	44361
33055	45462
13524	44721
13524	45327
13524	45413
13524	45659
13524	45626
35703	45659
35703	45626
18451	45659
18451	44361
18451	45462
39218	45659
39218	45626
6975	45659
6975	44917
6975	44953
6975	45273
1876	45187
1876	45044
1876	45659
1876	45626
33783	45659
33783	45626
8689	45659
8689	44361
8689	45462
8813	45659
8813	44361
8813	45462
5343	45187
5343	45044
5343	45659
5343	45626
15182	45659
15182	45626
34945	45187
34945	45044
34945	45659
34945	45626
12362	45659
12362	44361
12362	45462
33163	45659
33163	44361
33163	45462
24194	45659
24194	44361
24194	45462
11380	45659
11380	45626
6024	45659
6024	44361
6024	45462
27509	44461
27509	45648
27509	45396
27509	45486
27509	45011
27509	45659
27509	44572
25054	44999
25054	44461
25054	45659
25054	45358
25054	45401
8452	45187
8452	45044
8452	45659
8452	45626
13868	45187
13868	45044
13868	45659
13868	45626
7577	44865
7577	44461
7577	45486
7577	45071
7577	45659
7577	44436
7577	45291
7577	44483
3563	45187
3563	45044
3563	45659
3563	45626
34906	45659
34906	44361
34906	45462
23337	45659
23337	44917
23337	44953
14973	45659
14973	44917
14973	44953
40853	45659
40853	44361
40853	45462
17219	45659
17219	45626
33949	45659
33949	44361
33949	45462
13990	45187
13990	45044
13990	45659
13990	45626
30521	45659
30521	44917
30521	44953
30521	44695
10592	45659
10592	44361
10592	45462
40624	45659
40624	45109
40624	45626
20244	45659
20244	45626
40870	45187
40870	45044
40870	45659
40870	45626
42322	45659
42322	44361
42322	45462
3681	45187
3681	45044
3681	45659
3681	45626
33958	45187
33958	45044
33958	45659
33958	45626
3758	45659
3758	44361
3758	45462
38111	45659
38111	45626
38111	45528
5347	44721
5347	45659
5347	45626
5347	44770
5347	44480
20785	45187
20785	45044
20785	45659
20785	45626
16075	45659
16075	44361
16075	45462
1424	45659
1424	45567
1424	45626
1424	44721
37777	45659
37777	44361
37777	45462
3020	45659
3020	44361
3020	45462
33494	45659
33494	44361
33494	45462
14965	45659
14965	44917
14965	44953
11071	45659
11071	44361
11071	45462
41959	45659
41959	44361
41959	45462
9479	45187
9479	45044
9479	45659
