12954	23	835
17809	47	9252
7362	40	19756
20421	47	26310
21960	23	16643
27063	9	4496
3859	36	19655
11187	16	22088
19916	9	21307
11047	16	17194
20089	40	23662
26583	26	7151
13490	16	26488
22982	4	16962
21846	23	24035
20281	16	10460
21250	52	12552
9615	9	9049
3137	22	10802
18256	47	14025
2502	47	16672
5901	22	20440
5963	25	2915
7385	15	3016
7305	23	17199
11805	16	15201
13248	60	13301
24944	14	24257
11605	60	16094
21800	26	1345
19900	25	16301
26778	67	4065
16991	47	21231
14927	60	11191
9165	40	2905
16314	14	2005
270	22	7598
5528	67	13583
672	25	20419
33	22	18804
21296	4	8166
21892	26	24748
3013	9	5420
6546	73	6272
228	16	24883
18110	72	3232
25075	55	6070
3843	14	6036
15906	9	19573
16253	13	8389
7978	4	9153
4366	55	14425
26217	60	15784
6004	4	18860
1467	26	26911
8260	48	7855
3860	72	4968
10855	15	22656
16103	52	14222
4056	67	18016
12521	49	4191
2971	15	7291
8639	67	27164
18782	15	24578
6871	72	13074
16088	52	26956
21590	67	5829
12039	23	4861
8851	4	880
20023	67	13982
12844	59	1183
9422	25	16301
24707	52	23534
8409	55	3962
14629	49	13816
10807	49	22205
3921	73	5322
21308	48	15543
4263	13	10498
18099	13	25072
13491	59	15481
7016	14	26066
26445	4	14401
4184	67	27175
26084	47	7302
24736	47	2933
995	52	23365
21914	48	7424
7178	23	18433
8349	72	6502
21083	40	5344
14669	49	16093
6053	67	17141
7503	48	23973
13768	4	18063
4532	9	12296
10181	72	7396
27017	14	11291
23431	48	25066
14764	16	1664
23216	14	25602
12691	16	16921
17019	22	22693
5342	47	2933
2546	48	13520
2172	67	3057
12127	55	11701
5226	9	15395
1945	16	10884
13099	14	105
14173	47	1632
11145	26	11683
23587	26	12616
20805	25	12764
833	48	20829
26295	72	72
25961	9	19037
22601	22	26473
16128	36	5177
14533	15	1404
14681	36	22707
26586	60	5940
24066	60	1847
17770	23	13061
18325	25	18165
26177	60	5940
7606	15	23413
7139	60	9650
6880	47	3752
12893	26	21995
602	72	21095
12833	15	11941
21018	36	23608
3679	49	13898
22796	4	15864
12196	13	7361
4351	15	2254
11512	4	11799
9035	67	15695
12012	22	6048
19446	36	26575
6225	52	6774
1008	16	18333
19070	25	30
3551	23	3975
21279	9	4108
15788	55	18448
16386	47	22412
524	9	13082
1788	36	7448
12276	55	765
21136	15	4182
11773	59	20410
14912	15	8981
18501	60	10049
18653	73	19125
11484	22	2614
16881	73	963
7940	60	15784
22227	73	12421
4084	15	18516
24671	4	1685
22125	47	11255
6367	15	20560
12453	60	5940
2282	52	1996
19073	15	18538
9944	59	8460
9397	23	26034
4887	55	11539
4833	16	26173
12394	40	2905
6030	36	7945
7562	4	23920
26295	72	14873
9881	25	14697
17840	16	963
24220	49	21797
2732	23	17392
23507	67	17517
15916	60	4597
4277	59	11599
4032	16	11116
11967	25	3978
159	48	9680
13971	40	16174
19912	16	5845
16666	15	8909
13764	14	15049
10547	49	7696
18227	67	20265
8246	13	23603
18136	36	26495
20746	60	20619
26619	40	8278
11680	15	22303
17863	13	22063
14775	52	10899
20379	25	18107
17766	67	1224
25068	15	12847
4412	52	1232
10543	22	22628
18585	55	6289
3008	48	22108
23960	52	2076
19582	48	20842
17255	9	17604
553	25	3978
9319	48	26556
867	40	22278
19175	16	12879
16733	49	13409
26200	13	12256
22102	72	5925
26808	47	21231
12742	15	12499
3836	55	2668
7987	22	2173
13813	40	23825
11749	16	6942
14655	26	6829
16652	13	19574
8173	67	18418
15062	4	13927
2241	22	22693
25881	22	22693
19722	72	2475
4787	13	11586
211	16	14302
14218	22	17330
9362	55	902
3561	26	7390
14169	15	5613
12516	15	9658
6468	9	5817
1854	52	5895
8835	48	7811
4756	73	21033
15094	40	16174
17699	55	3437
13915	13	11586
2666	60	5940
2162	72	14410
2678	67	1241
27081	26	9312
19323	40	23662
9692	13	19414
